Usia,Gender,L,M,S
0,L,1,34.4618,0.03686
0,P,1,33.8787,0.03496
1,L,1,37.2759,0.03133
1,P,1,36.5463,0.0321
2,L,1,39.1285,0.02997
2,P,1,38.2521,0.03168
3,L,1,40.5135,0.02918
3,P,1,39.5328,0.0314
4,L,1,41.6317,0.02868
4,P,1,40.5817,0.03119
5,L,1,42.5576,0.02837
5,P,1,41.459,0.03102
6,L,1,43.3306,0.02817
6,P,1,42.1995,0.03087
7,L,1,43.9803,0.02804
7,P,1,42.829,0.03075
8,L,1,44.53,0.02796
8,P,1,43.3671,0.03063
9,L,1,44.9998,0.02792
9,P,1,43.83,0.03053
10,L,1,45.4051,0.0279
10,P,1,44.2319,0.03044
11,L,1,45.7573,0.02789
11,P,1,44.5844,0.03035
12,L,1,46.0661,0.02789
12,P,1,44.8965,0.03027
13,L,1,46.3395,0.02789
13,P,1,45.1752,0.03019
14,L,1,46.5844,0.02791
14,P,1,45.4265,0.03012
15,L,1,46.806,0.02792
15,P,1,45.6551,0.03006
16,L,1,47.0088,0.02795
16,P,1,45.865,0.02999
17,L,1,47.1962,0.02797
17,P,1,46.0598,0.02993
18,L,1,47.3711,0.028
18,P,1,46.2424,0.02987
19,L,1,47.5357,0.02803
19,P,1,46.4152,0.02982
20,L,1,47.6919,0.02806
20,P,1,46.5801,0.02977
21,L,1,47.8408,0.0281
21,P,1,46.7384,0.02972
22,L,1,47.9833,0.02813
22,P,1,46.8913,0.02967
23,L,1,48.1201,0.02817
23,P,1,47.0391,0.02962
24,L,1,48.2515,0.02821
24,P,1,47.1822,0.02957
25,L,1,48.3777,0.02825
25,P,1,47.3204,0.02953
26,L,1,48.4989,0.0283
26,P,1,47.4536,0.02949
27,L,1,48.6151,0.02834
27,P,1,47.5817,0.02945
28,L,1,48.7264,0.02838
28,P,1,47.7045,0.02941
29,L,1,48.8331,0.02842
29,P,1,47.8219,0.02937
30,L,1,48.9351,0.02847
30,P,1,47.934,0.02933
31,L,1,49.0327,0.02851
31,P,1,48.041,0.02929
32,L,1,49.126,0.02855
32,P,1,48.1432,0.02926
33,L,1,49.2153,0.02859
33,P,1,48.2408,0.02922
34,L,1,49.3007,0.02863
34,P,1,48.3343,0.02919
35,L,1,49.3826,0.02867
35,P,1,48.4239,0.02915
36,L,1,49.4612,0.02871
36,P,1,48.5099,0.02912
37,L,1,49.5367,0.02875
37,P,1,48.5926,0.02909
38,L,1,49.6093,0.02878
38,P,1,48.6722,0.02906
39,L,1,49.6791,0.02882
39,P,1,48.7489,0.02903
40,L,1,49.7465,0.02886
40,P,1,48.8228,0.029
41,L,1,49.8116,0.02889
41,P,1,48.8941,0.02897
42,L,1,49.8745,0.02893
42,P,1,48.9629,0.02894
43,L,1,49.9354,0.02896
43,P,1,49.0294,0.02891
44,L,1,49.9942,0.02899
44,P,1,49.0937,0.02888
45,L,1,50.0512,0.02903
45,P,1,49.156,0.02886
46,L,1,50.1064,0.02906
46,P,1,49.2164,0.02883
47,L,1,50.1598,0.02909
47,P,1,49.2751,0.0288
48,L,1,50.2115,0.02912
48,P,1,49.3321,0.02878
49,L,1,50.2617,0.02915
49,P,1,49.3877,0.02875
50,L,1,50.3105,0.02918
50,P,1,49.4419,0.02873
51,L,1,50.3578,0.02921
51,P,1,49.4947,0.0287
52,L,1,50.4039,0.02924
52,P,1,49.5464,0.02868
53,L,1,50.4488,0.02927
53,P,1,49.5969,0.02865
54,L,1,50.4926,0.02929
54,P,1,49.6464,0.02863
55,L,1,50.5354,0.02932
55,P,1,49.6947,0.02861
56,L,1,50.5772,0.02935
56,P,1,49.7421,0.02859
57,L,1,50.6183,0.02938
57,P,1,49.7885,0.02856
58,L,1,50.6587,0.0294
58,P,1,49.8341,0.02854
59,L,1,50.6984,0.02943
59,P,1,49.8789,0.02852
60,L,1,50.7375,0.02946
60,P,1,49.9229,0.0285
