Usia,Gender,L,M,S
0,L,0.3487,3.3464,0.14602
0,P,0.3809,3.2322,0.14171
1,L,0.2297,4.4709,0.13395
1,P,0.1714,4.1873,0.13724
2,L,0.197,5.5675,0.12385
2,P,0.0962,5.1282,0.13
3,L,0.1738,6.3762,0.11727
3,P,0.0402,5.8458,0.12619
4,L,0.1553,7.0023,0.11316
4,P,-0.005,6.4237,0.12402
5,L,0.1395,7.5105,0.1108
5,P,-0.043,6.8985,0.12274
6,L,0.1257,7.934,0.10958
6,P,-0.0756,7.297,0.12204
7,L,0.1134,8.297,0.10902
7,P,-0.1039,7.6422,0.12178
8,L,0.1021,8.6151,0.10882
8,P,-0.1288,7.9487,0.12181
9,L,0.0917,8.9014,0.10881
9,P,-0.1507,8.2254,0.12199
10,L,0.082,9.1649,0.10891
10,P,-0.17,8.48,0.12223
11,L,0.073,9.4122,0.10906
11,P,-0.1872,8.7192,0.12247
12,L,0.0644,9.6479,0.10925
12,P,-0.2024,8.9481,0.12268
13,L,0.0563,9.8749,0.10949
13,P,-0.2158,9.1699,0.12283
14,L,0.0487,10.0953,0.10976
14,P,-0.2278,9.387,0.12294
15,L,0.0413,10.3108,0.11007
15,P,-0.2384,9.6008,0.12299
16,L,0.0343,10.5228,0.11041
16,P,-0.2478,9.8124,0.12303
17,L,0.0275,10.7319,0.11079
17,P,-0.2562,10.0226,0.12306
18,L,0.0211,10.9385,0.11119
18,P,-0.2637,10.2315,0.12309
19,L,0.0148,11.143,0.11164
19,P,-0.2703,10.4393,0.12315
20,L,0.0087,11.3462,0.11211
20,P,-0.2762,10.6464,0.12323
21,L,0.0029,11.5486,0.11261
21,P,-0.2815,10.8534,0.12335
22,L,-0.0028,11.7504,0.11314
22,P,-0.2862,11.0608,0.1235
23,L,-0.0083,11.9514,0.11369
23,P,-0.2903,11.2688,0.12369
24,L,-0.0137,12.1515,0.11426
24,P,-0.2941,11.4775,0.1239
25,L,-0.0189,12.3502,0.11485
25,P,-0.2975,11.6864,0.12414
26,L,-0.024,12.5466,0.11544
26,P,-0.3005,11.8947,0.12441
27,L,-0.0289,12.7401,0.11604
27,P,-0.3032,12.1015,0.12472
28,L,-0.0337,12.9303,0.11664
28,P,-0.3057,12.3059,0.12506
29,L,-0.0385,13.1169,0.11723
29,P,-0.308,12.5073,0.12545
30,L,-0.0431,13.3,0.11781
30,P,-0.3101,12.7055,0.12587
31,L,-0.0476,13.4798,0.11839
31,P,-0.312,12.9006,0.12633
32,L,-0.052,13.6567,0.11896
32,P,-0.3138,13.093,0.12683
33,L,-0.0564,13.8309,0.11953
33,P,-0.3155,13.2837,0.12737
34,L,-0.0606,14.0031,0.12008
34,P,-0.3171,13.4731,0.12794
35,L,-0.0648,14.1736,0.12062
35,P,-0.3186,13.6618,0.12855
36,L,-0.0689,14.3429,0.12116
36,P,-0.3201,13.8503,0.12919
37,L,-0.0729,14.5113,0.12168
37,P,-0.3216,14.0385,0.12988
38,L,-0.0769,14.6791,0.1222
38,P,-0.323,14.2265,0.13059
39,L,-0.0808,14.8466,0.12271
39,P,-0.3243,14.414,0.13135
40,L,-0.0846,15.014,0.12322
40,P,-0.3257,14.601,0.13213
41,L,-0.0883,15.1813,0.12373
41,P,-0.327,14.7873,0.13293
42,L,-0.092,15.3486,0.12425
42,P,-0.3283,14.9727,0.13376
43,L,-0.0957,15.5158,0.12478
43,P,-0.3296,15.1573,0.1346
44,L,-0.0993,15.6828,0.12531
44,P,-0.3309,15.341,0.13545
45,L,-0.1028,15.8497,0.12586
45,P,-0.3322,15.524,0.1363
46,L,-0.1063,16.0163,0.12643
46,P,-0.3335,15.7064,0.13716
47,L,-0.1097,16.1827,0.127
47,P,-0.3348,15.8882,0.138
48,L,-0.1131,16.3489,0.12759
48,P,-0.3361,16.0697,0.13884
49,L,-0.1165,16.515,0.12819
49,P,-0.3374,16.2511,0.13968
50,L,-0.1198,16.6811,0.1288
50,P,-0.3387,16.4322,0.14051
51,L,-0.123,16.8471,0.12943
51,P,-0.34,16.6133,0.14132
52,L,-0.1262,17.0132,0.13005
52,P,-0.3414,16.7942,0.14213
53,L,-0.1294,17.1792,0.13069
53,P,-0.3427,16.9748,0.14293
54,L,-0.1325,17.3452,0.13133
54,P,-0.344,17.1551,0.14371
55,L,-0.1356,17.5111,0.13197
55,P,-0.3453,17.3347,0.14448
56,L,-0.1387,17.6768,0.13261
56,P,-0.3466,17.5136,0.14525
57,L,-0.1417,17.8422,0.13325
57,P,-0.3479,17.6916,0.146
58,L,-0.1447,18.0073,0.13389
58,P,-0.3492,17.8686,0.14675
59,L,-0.1477,18.1722,0.13453
59,P,-0.3505,18.0445,0.14748
60,L,-0.1506,18.3366,0.13517
60,P,-0.3518,18.2193,0.14821
