Tinggi,Gender,Pengukuran,L,M,S
45,L,Length,-0.3521,2.441,0.09182
45,P,Length,-0.3833,2.4607,0.09029
45.5,L,Length,-0.3521,2.5244,0.09153
45.5,P,Length,-0.3833,2.5457,0.09033
46,L,Length,-0.3521,2.6077,0.09124
46,P,Length,-0.3833,2.6306,0.09037
46.5,L,Length,-0.3521,2.6913,0.09094
46.5,P,Length,-0.3833,2.7155,0.0904
47,L,Length,-0.3521,2.7755,0.09065
47,P,Length,-0.3833,2.8007,0.09044
47.5,L,Length,-0.3521,2.8609,0.09036
47.5,P,Length,-0.3833,2.8867,0.09048
48,L,Length,-0.3521,2.948,0.09007
48,P,Length,-0.3833,2.9741,0.09052
48.5,L,Length,-0.3521,3.0377,0.08977
48.5,P,Length,-0.3833,3.0636,0.09056
49,L,Length,-0.3521,3.1308,0.08948
49,P,Length,-0.3833,3.156,0.0906
49.5,L,Length,-0.3521,3.2276,0.08919
49.5,P,Length,-0.3833,3.252,0.09064
50,L,Length,-0.3521,3.3278,0.0889
50,P,Length,-0.3833,3.3518,0.09068
50.5,L,Length,-0.3521,3.4311,0.08861
50.5,P,Length,-0.3833,3.4557,0.09072
51,L,Length,-0.3521,3.5376,0.08831
51,P,Length,-0.3833,3.5636,0.09076
51.5,L,Length,-0.3521,3.6477,0.08801
51.5,P,Length,-0.3833,3.6754,0.0908
52,L,Length,-0.3521,3.762,0.08771
52,P,Length,-0.3833,3.7911,0.09085
52.5,L,Length,-0.3521,3.8814,0.08741
52.5,P,Length,-0.3833,3.9105,0.09089
53,L,Length,-0.3521,4.006,0.08711
53,P,Length,-0.3833,4.0332,0.09093
53.5,L,Length,-0.3521,4.1354,0.08681
53.5,P,Length,-0.3833,4.1591,0.09098
54,L,Length,-0.3521,4.2693,0.08651
54,P,Length,-0.3833,4.2875,0.09102
54.5,L,Length,-0.3521,4.4066,0.08621
54.5,P,Length,-0.3833,4.4179,0.09106
55,L,Length,-0.3521,4.5467,0.08592
55,P,Length,-0.3833,4.5498,0.0911
55.5,L,Length,-0.3521,4.6892,0.08563
55.5,P,Length,-0.3833,4.6827,0.09114
56,L,Length,-0.3521,4.8338,0.08535
56,P,Length,-0.3833,4.8162,0.09118
56.5,L,Length,-0.3521,4.9796,0.08507
56.5,P,Length,-0.3833,4.95,0.09121
57,L,Length,-0.3521,5.1259,0.08481
57,P,Length,-0.3833,5.0837,0.09125
57.5,L,Length,-0.3521,5.2721,0.08455
57.5,P,Length,-0.3833,5.2173,0.09128
58,L,Length,-0.3521,5.418,0.0843
58,P,Length,-0.3833,5.3507,0.0913
